Gank,CRM LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
144,L25086930559,WESTGATE - IRVINS SALTED EGG,WESTGATE|3 GATEWAY DRIVE,COCOBA|IRVINS SALTED EGG|UNIT NO. #02-K3|TEL NO: 6264 3076|WWW.IRVINSALTEDEGG.COM|GST REG:200702419E,608532,200702419E
143,L0300530293,TAMPINES MALL - ARENA,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,ARENA|ROC NO: 198101922R|GST REG. NO. : M200533968,529510,M200533968
142,L2526870296,WESTGATE - HOT TOMATO CAFE & GRILL,WEST GATE|3 GATEWAY DRIVE,HOT TOMATO CONCEPT|GST REG NO : 201210852K,608532,201210852K
141,L2508940074,WESTGATE - KIDDY PALACE,WEST GATE|3 GATEWAY DRIVE,KIDDY PALACE|ROC/GST NO: 19-9201408-M,,199201408M
140,L1811580440,LOT ONE - DIAN XIAO ER,LOT 1|LOT ONE|21 CHOA CHU KANG AVU 4|689812,DIAN XIAO ER|GST REG NO: 20-0207476-M|TEL: 6766 1776,,200207476M
14,L57054310673,RAFFLES CITY SINGAPORE - RAFFLES CITY MARKET PLACE,RAFFLES CITY|252 NORTH BRIDGE ROAD,MKT PLACE|BIZ REG NO 52929695X,179103,MR85002257
139,L0417660505,PLAZA SINGAPURA - ITACHO SUSHI,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,ITACHO SUSHI|ITACHO|TEL: 63378922,238839,200906024W
136,L2200140167,THE STAR VISTA - WATSONS,STAR VISTA|1 VISTA EXCHANGE GREEN,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
135,L0231990303,JUNCTION 8 - VENUS BEAUTY,JUNCTION 8|9 BISHAN PLACE|SINGAPORE 579837,VENUS BEAUTY|VENUSBEAUTY.SG|GST NO: 20-0414121-G,579837,200414121G
134,L0223300284,JUNCTION 8 - A-ONE CLAYPOT HOUSE,JUNCTION 8|9 BISHAN PLACE,A-ONE|CLAYPOT HOUSE|TEL: 6258 5119|GST REG NO. 200813285Z,579837,200813285Z
133,L18062250154,LOT ONE - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,LOT 1|LOT ONE|21 CHOA CHU KANG,OLD STREET BAK KU THE|GST REG NO: 201419163G,689812,201419163G
132,L0300210436,TAMPINES MALL - THE BODY SHOP,TAMPINES MALL|TAMPINES CENTRAL,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP|TELEPHONE: 67810673|BIZ REG NO: 199307427H|GST REG NO: M20119094X|THEBODYSHOP.COM/FEEDBACK,529510,M20119094X
131,L25061790569,WESTGATE - YOOGANE,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,YOOGANE|TEL: +65 6710 7821|GST REG NO. 201426699M,608532,201426699M
130,CALT03,CALTEX - JURONG WEST,21 JURONG WEST STREET 93|648964,CALTEX|TEL: 6793 0880|FAX: 6792 0330|TAX ID: MR-8500235-4|MERCHANT ID: 1049442430,648964,MR85002354
13,L0608690237,BUGIS JUNCTION - BHG,BUGIS JUNCTION,WWW.BHGSINGAPORE.COM.SG|AT BHG|65-62232222|BHGSING,,M201190924
129,L0722970265,SEMBAWANG SHOPPING CENTRE - JUST ACIA,604 SEMBAWANG|SEMBAWANG|SEMBAWANG SHOPPING,JUSTACIA.COM|JUST ACIA|JUST ACIA|6555 7798,,201131662D
128,L1801190019,LOT ONE - HOCKHUA TONIC,LOT 1|LOT ONE|21 CHOA CHU KANG AVENUE 4|SINGAPORE 689812,HOCKHUA TONIC|TEL: 67678630|CO. REG. NO. : 53026826D|GST REG. NO. : 20-0309446-K,689812,200309446K
127,L0429760588,PLAZA SINGAPURA - TIM HO WAN,PLAZA SINGAPURA|68 ORCHARD ROAD,TIM HO WAN|GST REG NO: 201301178C|#01-29A/52,238839,201301178C
126,L25079690529,WESTGATE - EARLE SWENSEN,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,EARLE SWENSEN|EARLE SWENSEN'S|TEL: 6358 3859|FAX: 6358 3849|COMPANY REG. N. 197803023H|GST NO. N2-0032910-8,608532,M200329108
125,L0402630254,PLAZA SINGAPURA - ICHIBAN SUSHI,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,ICHIBAN SUSHI|TEL: 6837 0113|FAX: 6837 0414|CO. REG. NO.: 53273556X|GST REG. NO.: M2-0083303-1,238839,M200833031
124,L16062250364,BUKIT PANJANG PLAZA - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,BUKIT PANJANG PLAZA|1 JELEBU ROAD,OLD STREET BAK KU THE (BP)|GST REG NO: 200811393M,677743,200811393M
123,L1800040461,LOT ONE - COURTS,LOT 1|LOT ONE|21 CHOA CHU KANG,COURTS SING|197301411C|WWW.COURTS.COM,,M200162650
122,L0402540144,PLAZA SINGAPURA - MARKS & SPENCER,PLAZA SINGAPURA|68 ORCHARD ROAD,MARKS & SPENCER|BACCARAT|TEL: 6835 9552|GST/CO NO: MR85001447/197501717W|WWW.TELLMANDSSG.COM,238839,MR85001447
121,L03066420148,TAMPINES MALL - AJISEN RAMEN AND OSAKA OHSHO,TAMPINES MALL|TAMPINES CENTRAL,AJISEN RAMEN|OSAKA OHSHO|GST REG: M90370629T|TEL: 67876422,,M90370629T
120,L21002910427,BUGIS+ - GENKI SUSHI,BUGIS+|201 VICTORIA STREET|SINGAPORE 188067,GENKI SUSHI|GENKI SUSHI BUGIS+|GST REG NO. 201100057G,188067,201100057G
12,L0301220338,TAMPINES MALL - ISETAN,TAMPINES|TAMPINES MALL|TEL NO.: 6788,ISETAN|WWW.ISETAN.COM.SG|CO.REG.NO.: 197001177H|GST REG. NO. : M2-0011480-9,,M200114809
119,L1602120086,BUKIT PANJANG PLAZA - SWENSEN'S,BUKIT PANJANG PLAZA|1 JELEBU ROAD,SWENSEN|SWENSEN'S|TEL : 68920319|FAX: 68923450|COMPANY REG. N 197803023H|GST NO. M2-0032810-8,677743,199707925N
118,CALT02,CALTEX - CLEMENTI,CLEMENTI AVENUE 2,CALTEX,129930,MR85002354
117,L2217660155,THE STAR VISTA - ITACHO SUSHI,STAR VISTA|1 VISTA EXCHANGE GREEN,ITACHO SUSHI|ITACHO|TEL: 66940880,138617,201210694N
116,L21068810472,BUGIS+ - RAMEN CHAMPION,BUGIS+|201 VICTORIA STREET,OTARU SUISAN|RAMEN|RAMEN CHAMPION|COMPANY REG. NO. 201113013Z|GST REG. NO. 201113013Z|IS+ #04-10,188067,201113013Z
115,L25086350685,WESTGATE - IPPUDO SG @ WESTGATE,WESTGATE|3 GATEWAY DRIVE,IPPUDO SG|GST REG NO: 200904034W|TEL: +65 6465 9308|WWW.IPPUDO.COM.SG,608532,200904034W
114,L1607900213,BUKIT PANJANG PLAZA - HARVEY NORMAN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,HARVEY NORMAN|#03-06/06A/06B/07A,677743,MR85001242
113,L03060970611,TAMPINES MALL - INNISFREE,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,INNISFREE|NATURAL BENEFITS FROM JEJU|IF SG TAMPINES|#01-35/36/37|TEL NO: 6443 9608|CO. /GST NO: 200107846H,188021,200107846H
112,L1800010383,LOT ONE - AJISEN RAMEN,LOT 1|LOT ONE|21 CHOA CHU KANG,AJISEN RAMEN|GST REG: M90370629T,,M90370629T
111,L2500140301,WESTGATE - WATSONS,WESTGATE|3 GATEWAY DRIVE,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
110,L02011580416,JUNCTION 8 - DIAN XIAO ER,JUNCTION 8|9 BISHAN PLACE,DIAN XIAO ER|GST REG NO: 20-0207476-M|TEL: 6684 0877,579837,200207476M
11,L57054200166,RAFFLES CITY SINGAPORE - ROBINSONS,RAFFLES CITY|RAFFLES,ROBINSONS|TEL: +65 62168388|ROBINSONS & CO (S) P/L,179103,MR85001447
109,L0300100083,TAMPINES MALL - PIZZA HUT,TAMPINES MALL,PIZZA HUT|GST REG NO:M2-0114109-5|TEL: 6781 3413|WWW.PIZZAHUTGUESTSURVEY.COM.SG,,M201141095
108,L0701790218,SEMBAWANG SHOPPING CENTRE - ASTONS SPECIALITIES,SEMBAWANG SHOPPING CENTRE|604 SEMBAWANG ROAD,ASTONS|#B1-12/13/14|TEL: 6753 6302|GST REG. NO. : 200719983N,758459,200719983N
107,L0301190407,TAMPINES MALL - HOCKHUA TONIC,TAMPINES MALL|4 TAMPINES CENTRAL 5,HOCKHUA TONIC|TEL: 67837768|CO. REG. NO.: 53043905X|GST REG. NO. : 20-0416653-M,529510,200416653M
106,L5750560587,RAFFLES CITY SINGAPORE - DIN TAI FUNG,RAFFLES CITY|252 NORTH BRIDGE ROAD,DIN TAI FUNG|CO REG NO.:200303124C|GST REG NO.:20-03-031124C,179101,200303124C
105,L25063260446,WESTGATE - TOKYU HANDS,JURONG EAST|3 GATEWAY DRIVE,TOKYU HANDS|TOKYU HANDS JURONG EAST|TEL: 6710-7100|FAX: 6710-7177|GST REG NO. : 201416784C,608532,201416784C
104,L1611490005,BUKIT PANJANG PLAZA - UNITY,BUKIT PANJANG PLAZA|1 JELEBU ROAD,UNITY|UNITY BY FAIRPRICE|TEL 6760 2363,677743,
103,L2200030160,THE STAR VISTA - GUARDIAN,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617,GUARDIAN|GUARDIAN HEALTH|GUARDIAN HEALTH & BEAUTY|WWW.GUARDIAN.COM.SG,138617,MR85002257
102,L1601190198,BUKIT PANJANG PLAZA - HOCKHUA TONIC,BUKIT PANJANG PLAZA|1 JELEBU ROAD,HOCKHUA TONIC|TEL: 68922551|CO. REG. NO. : 53004359M|GST REG. NO.: 20-0309446-K,677743,200309446K
101,L2417660065,BEDOK MALL - ITACHO SUSHI,BEDOK MALL|311 NEW UPPER CHANGI ROAD,ITACHO SUSHI|ITACHO|TEL: 62278911,467360,200906024W
100,L2226910269,THE STAR VISTA - CANTON PARADISE TEAHOUSE,THE STAR VISTA|1 VISTA EXCHANGE GREEN,CANTON PARADISE|TEA HOUSE|FAX: 6694 2936,138617,201010317N
10,L0613460502,BUGIS JUNCTION - COLD STORAGE,230 VICTORIA ST,CS BUGIS::CS|COLD STORAGE|63361990,188024,MR85002257
1,L16078700191,BUKIT PANJANG PLAZA - FAIRPRICE FINEST,BUKIT PANJANG PLAZA|1 JELEBU ROAD,FINEST|FAIRPRICE FINEST|#01-15 & 02-20,677743,M400045780
,L0025660001, WESTGATE - WESTGATE,WESTGATE|3 GATEWAY DRIVE,HA-JUN|UNISEX,608532,
,L0200210057,,JUNCTION 8|9 BISHAN PLACE,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,579837,M20119094X
,L0200250022,,JUNCTION 8 BRANCH,PET LOVERS CENTRE|PETLOVERSCENTRE|TEL : 1800-PERFOOD|GST REG : M2-0032541-9,,m200325419
,L0200770026,,JUNCTION 8|9 BISHAN PLACE,EUYANSANG|EU YAN SANG|TEL: (65)63542174|FAX: (65)63541648|GST REG. NO. : M2-0002462-1,579837,M200024621
,L0200910075,JUNCTION 8 - BYSI,JUNCTION 8,BYSI|BYSI SING|TEL +65 63534054,,200908756c
,L0201930299,,JUNCTION 8,BATA.COM.SG|WITH BATA,,m200000374
,L0201970027,,JUNCTION 8|9 BISHAN PLACE,SAKAE SUSHI|SAKAE SUSHI (J8)|TEL: (65) 67348552|GST REG: 201208407R,579837,201208407R
,L0202140234,JUNCTION 8 - AJISEN JAPANESE RESTAURANT,JUNCTION 8|9 BISHAN PLACE,AJISEN|MID: 9800063653,,
,L02023220178,,JUNCTION 8|9 BISHAN PLACE,JAPAN HOME,579837,201127632E
,L02030740296,,JUNCTION 8 SHOPPING,SKECHERS|#01-10/11,579837,
,L0207830212,,JUNCTION 8,FOOD JUN|STALL #10|GST REG. :201311836H,,201311836H
,L0300060465,,TAMPINES MALL|4 TAMPINES CENTRAL 5,DELIFRANCE|TEL: 6260 8522|BUSINESS REG NO: 198902330E|GST REG NO: MR-8500313-0,529510,mr85003130
,L0300250420,,TAMPINES MALL|4 TAMPINES CENTRAL 5,PET LOVERS CENTRE|PETLOVERSCENTRE|1800-PETFOOD,,52969972M
,L0300450051,,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,BOSSINI|J&R BOSSINI FASHION|#02-06/07/08|GST REG NO:M200747887|@BOSSINISG,529510,m200747887
,L0300770015,,TAMPINES MALL|4 TAMPINES CENTRAL 5,EUYANSANG|EU YAN SANG|TEL: (65)67874270|FAX: (65)67874092,529510,M200024621
,L03061790656,,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,YOOGANE|TEL: 65441098|GST REG NO. 201426699M,529510,
,L03069960272,,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,SOPHO|SOPHO.COM|GST REGNO: M289220330|TEL: 6789 0653|FAX: 6789 2807|WWW.SOPHO.COM.SG,529510,m289220330
,L03086730652,,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,MENYA MUSASHI|GST REG: M90370629T|TEL: 6786 3221,529510,M90370629T
,L0315160184,,TAMPINES MALL|4 TAMPINES CENTRAL 5,NANDO'S|TEL: 65-67895052|FAX:65-67895591|PERI-PERI@NANDOS,529510,200208738D
,L0321640264,,TAMPINES MALL|4 TAMPINES CENTRAL 5,O'NYA SAYANG|TEL: 67838140|GST REG NO: 201112734C,529510,201112734c
,L0323630431,,TAMPINES MALL|4 TAMPINES CENTRAL 5,HUSH PUPPIES,529510,M200657772
,L0400140006,PLAZA SINGAPURA - WATSONS,PLAZA SINGAPURA|68 ORCHARD ROAD,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,m200772571
,L0400210106,,PLAZA SINGAPURA|68 ORCHARD ROAD,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,238839,M20119094X
,L0400770524,,PLAZA SINGAPURA|68 ORCHARD ROAD,EUYANSANG|EU YAN SANG|TEL: (65)62380735|FAX: (65)6238072|GST REG. NO.: M2-0002462-1,238839,M200024621
,L0402120183,,PLAZA SINGAPURA|68 ORCHARD ROAD,SWENSEN'S|TEL: 68370650,238839,M200328108
,L04029490072,PLAZA SINGAPURA - 4FINGERS CRISPY CHICKEN,PLAZA SINGAPURA|68 ORCHARD ROAD,4FINGERS CRISPY CHICKEN|GST REG. NO. : 201411212R|WWW.4FINGERS.COM,238839,201411212R
,L04089760108,PLAZA SINGAPURA - THEFACESHOP - NATURE COLLECTION,PLAZA SINGAPURA|68 ORCHARD ROAD,NATURE COLLECTION|68370460,238839,200411534c
,L0418560022,,PLAZA SINGAPURA|68 ORCHARD ROAD,MANNA STORY,238839,
,L0500251903,,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG,PET LOVERS CENTRE|1800-PETFOOD|PETLOVERSCENTRE,,m200325419
,L0500770085,,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,EUYANSANG|EU YAN SANG,609601,M200024621
,L0501081303,,JURONG EAST|IMM BUILDING,M1 SHOP::M1|BRN : #199601952W,,m90003294P
,L05065192467,,IMM JURONG,PEDRO|PEDROSHOES.COM,609601,200512535M
,L05085972898,,IMM JURONG,SAAP SAAP THAI,,200409736E
,L0527511980,,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,ADIDAS|TEL:65695736,609601,M201192820
,L0527882029,IMM BUILDING - SOUP RESTAURANT,IMM BUILDING|2 JURONG EAST ST 2|SINGAPORE 467360,SOUP RESTAURANT|WHITE RESTAURANT|TEL: 6899 1811|FAX: 6899 1911,609601,M90344326G
,L0528822077,,IMM SHOPPING MALL|2 JURONG EAST STREET 21,SACOOR|DELTA RETAIL TRADING|PHONE: 65696903|UEN: 201114985W,609601,201114985w
,L0600210554,,BUGIS JUNCTION,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,188021,M20119094X
,L0600450553,,BUGIS JUNCTION|200 VICTORIA STREET,BOSSINI|BOSSINI ENTERPRISES LIMITED (SG)|TEL: 6337 6647|FAX: 6337 8647|GST REG NO:M200747887,188021,m200747887
,L0600770460,,BUGIS JUNCTION,EUYANSANG|EU YAN SANG,188021,M200024621
,L0601470122,,200 VICTORIA STREET|BUGIS JUNCTION,PAZZION|TEL 6333 9970,,200200886H
,L0601970674,,BUGIS JUNCTION,SAKAE SUSHI,188021,199604816E
,L0602120090,,BUGIS JUNCTION,SWENSEN|SWENSEN'S|197803023H,188021,M200328108
,L06087790158,,BUGIS JUNCTION|200 VICTORIA ST,KOGANE YAMA|KOGANE|GST: 201700204C,188021,
,L0660970843, BUGIS JUNCTION - INNISFRE,BUGIS JUNCTION|200 VICTORIA ST,INNISFREE|NATURAL BENEFITS FROM JEJU|TEL NO: 6238 0129|CO. /GST NO: 200107846H,188021,200107846H
,L0661790156,,BUGIS JUNCTION,YOOGANE|TEL: +65 6337 7337|GST REG NO. 201330636Z,188021,
,L0662480829,,200 VICTORIA STREET|BUGIS JUNCTION,DOLCE TOKYO|TEL: 6336 4808|GST REG NO. 200606534M,188021,200606534W
,L0707830286,,SEMBAWANG SHOPPING CENTRE,FOOD JUNCTION|STALL #04,,
,L15029010470,THE ATRIUM@ORCHARD - TSUKADA NOJO,THE ATRIUM LEVEL,TSUKADA NOJO|TEL:6336 5003|GST REG:201216307G,238891,201216307g
,L15088490506,,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD RD,AKIMITSU|JAPAN FOODS ENTERPRISES,238839,M90370629T
,L1600210159,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,677743,M20119094X
,L1600760153,,BUKIT PANJANG PLAZA,BENGAWAN SOLO|TEL: 6767 3011,,M201008174
,L1600770144,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,EUYANSANG|EU YAN SANG|(65)67674491|(65)67674493,677743,M200024621
,L1601930060,BUKIT PANJANG PLAZA - BATA,BUKIT PANJANG PLAZA,BATA|CUSTOMERSERVICE.SG@BATA.COM|PHONE # 67658592|GST REG. NO. M2-0000037-4,,m200000374
,L16021290281,BUKIT PANJANG PLAZA - SUKI-YA,BUKIT PANJANG PLAZA|1 JELEBU ROAD,SUKI-YA|SUKI-YA HOLDINGS|TEL658815|ROC NO: 199906748N|GST REG NO. 199906748N,,199906748n
,L16023220340,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,JAPAN HOME,677743,201127632E
,L16098020225,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,AH MAH HOMEMADE|EGG SPONGE CAKE,677743,
,L1800060438,,LOT 1|LOT ONE|21 CHOA CHU KANG,DELIFRANCE|198902330E,689812,mr85003130
,L1800210048,,LOT 1|LOT ONE|21 CHOA CHU KANG,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,689812,M20119094X
,L1800450421,,LOT 1|LOT ONE|21 CHOA CHU KANG,BOSSINI|BOSSINI ENTERPRISES,689812,m200747887
,L1800770233,,LOT 1|LOT ONE|21 CHOA CHU KANG,EUYANSANG|EU YAN SANG|TEL: (65)67642824|FAX: (65)67643614|WWW.EUYANSANG.COM.SG,689812,M200024621
,L1802240114,LOT ONE - SASA,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,SA SA|SA SA COSMETIC [L1]|TEL:6892 9980|GST REG. NO. 19-9701568-C,,199701568C
,L1817690494,,LOT ONE,MOF @::MOF|TEL:64660312,,200606534M
,L1823220294,,LOT 1|LOT ONE|21 CHOA CHU KANG,JAPAN HOME,689812,201127632E
,L2121710096,BUGIS+ - ASTONS,BUGIS PLUS|BUGIS+|201 VICTORIA STREET,ASTONS|TEL: 6334 7072|GST REG. NO. : 200719983N,188067,200719983N
,L2124470336,BUGIS+ - SEPHORA,BUGIS+|201 VICTORIA STREET|188067,SEPHORA|#02-06/07/08/09|TEL: 63419386|63419623|GST REG NO: 200822866N,188067,200822866n
,L22023220347,,THE STAR VISTA|1 VISTA EXCHANGE GREEN,JAPAN HOME,138617,201127632E
,L22023300356,,VISTA EXCHANGE GREEN|THE STAR VISTA,A-ONE|CLAYPOT HOUSE|TEL: 6734 6567|GST REG NO. 200813285Z,138617,200813285z
,L22032990414,,STAR VISTA|1 VISTA EXCHANGE GREEN,CEDELE|CEDELEGROUP|FAX: 6734 1793|WWW.CEDELEGROUP.COM|GST REG NO. 19-9702636-M,138617,199702636m
,L22065840482,THE STAR VISTA - THE SEAFOOD MARKET PLACE BY SONG FISH,THE STAR VISTA|1 VISTA EXCHANGE GREEN,SONG FISH DEALER|THE SEEFOOD MARKET PLACE BY SONG FISH|CO.REG : 198703967R|GST REG : M2-0078980-6,138167,M200789806
,L22071100573,,STAR VISTA|1 VISTA EXCHANGE GREEN,SAIZERIYA|6734 2580|COMPANY REG. NO. 200818603R,138617,200818603R
,L22081100570,THE STAR VISTA - OMOOMODON,THE STAR VISTA|1 VISTA EXCHANGE GREEN,OMOOMO|OMOOMODON|GST REGISTRATION NO.: 201611668K|MID: 000000020226301,138617,201611668K
,L2400210115,BEDOK MALL - THE BODY SHOP,BEDOK|BEDOK MALL|311 NEW UPPER,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP|TELEPHONE: 67810673|BIZ REG NO: 199307427H|GST REG NO: M20119094X|THEBODYSHOP.COM/FEEDBACK,467360,M20119094X
,L2400280050,,BEDOK MALL,LIVE WELL|GNC LIVE WELL|GNC VIP,,M200106977R
,L2400770004,,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,EUYANSANG|EU YAN SANG|TEL: (65)68449803|FAX: (65)68449804|GST REG. NO.: M2-0002462-1,467360,M200024621
,L2401190029,,BEDOK MALL|311 NEW UPPER,HOCKHUA TONIC|53248626W,467360,200416653m
,L2401930021,,BEDOK MALL|311 NEW UPPER,FEEDBACK.BATA.COM.SG|BATA,,m200000374
,L2402240197,,BEDOK MALL|311 NEW UPPER,SA SA COSMETIC|68449690 FAX:68449691,467360,
,L24023300483,BEDOK MALL - A-ONE CLAYPOT HOUSE,BEDOK MALL|311 NEW UPPER CHANGI ROAD,A-ONE|CLAYPOT HOUSE|TEL: 6584 0828|GST REG NO. 200813285Z,467360,200813285Z
,L2405720096,,NEW UPPER CHANGI|BEDOK MALL,PEPPER LUNCH|TEL 6844-9384|#01-05/06/07/08,,200408968W
,L24060970395,,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,INNISFREE|NATURAL BENEFITS FROM JELU|TEL NO: 6385 9400|CO./GST NO: 200107846H|WWW.FACEBOOK.COM/INNISFREESINGAPORE,467360,200107846H
,L24076600279,,BEDOK MALL|311 NEW UPPER|BEDOK,MINISO|MINISO.COM|MINISO SG|4509757405329,,201534263z
,L24087480424,BEDOK MALL - STREATS,BEDOK|BEDOK MALL|311 NEW CHANGI ROAD,STREATS CF|TEL: 6702 3603|WEBSITE: WWW.STREATSCAFE.COM.SG|GST REG. NO. : M289220330,467360,M2892220330
,L2411580028,BEDOK MALL - DIAN XIAO ER,BEDOK MALL|311 NEW UPPER CHANGI ROAD,DIAN XIAO ER|GST REG NO: 20-0207476-M,467360,200207476M
,L2417650135,,311 NEW UPPER CHANGI ROAD|BEDOK MALL,SHENG KEE|GST REG NO: 201002443W|HKBKM.MFB.AC,467360,201002443w
,L2423220152,,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 68449600|GST REG NO.: 201127632E,467360,201127632E
,L2431090214,,BEDOK,OWNDAYS|#01-60/61,,201308429G
,L25076600690,,WESTGATE MALL,MINISO|MINISO.COM|MINISO SG|GST REGISTRATION NO:201534263Z,,201534263Z
,L25082270584,,3 GATEWAY DRIVE|WESTGATE,ABURI SUSHI|HEISHIRO,,
,L2511300426,,WESTGATE #02-10|GATEWAY DR,TEL:6369 9345 FAX:|ONLINE@BEGA,608532,199403730G
,L2511490312,,WESTGATE,UNITY|UNITY BY FAIRPRICE|TEL:64659161,668532,M40046780
,L2529010343,,WEST GATE|3 GATEWAY DRIVE,TSUKADA NOJO|GST REG:201216307G,608532,201216307G
,L2531440098,WESTGATE - ROYCE',WESTGATE|3 GATEWAY DRIVE,ROYCE|ROYCE CONFECT INTER|GST REG. NO. : 20-0005529R|WWW.ROYCE.COM.SG,608532,200005529r
,L2531880274,,WESTGATE|3 GATEWAY DRIVE,MIAM MIAM|MIAM MIAM SING|GST REG NO 201315935W|POWER BY REVEL SYSTEMS,608532,201315935W
,L2561240094,,3 GATEWAY DRIVE|WESTGATE,CURRY TIMES|GST REG. NO. :M2-0079209-2|WWW.CURRYTIMES.COM.SG,608532,m200792092
,L57112470669,,RAFFLES CITY|252 NORTH BRIDGE ROAD,PU TIEN|6336 2184|200001660-W,179103,200001660W
,L57128370091,RAFFLES CITY SINGAPORE - RIVERSIDE GRILLED FISH,RAFFLES CITY|252 NORTH BRIDGE ROAD,RIVERSIDE GRILLED FISH|TEL: 6352 2035|GST REG NO : 201220758Z,179103,201220758z
,L57131690620,,RAFFLES CITY|252 NORTH BRIDGE ROAD,HYANGTOGOL|GST REG NO: 2006009216|TEL: 6336 4745|WWW.HYANGTOGOL.COM,,2006009216
,L57135040691,RAFFLES CITY SINGAPORE - TREASURES YI DIAN XIN,RAFFLES CITY|252 NORTH BRIDGE ROAD,TREASURES|YI DIAN XIN|IMPERIAL TREASURE|TEL: 6262 1662|FAX: 6262 1656|GST REGISTRATION: M9-0010008-Y,179103,m90010008Y
,L5750400366,RAFFLES CITY SINGAPORE - CEDELE,RAFFLES CITY|2 STAMFORD ROAD,CEDELE|TEL: 63344828|FAX: 63344335|WWW.CEDELEGROUP.COM|GST REG NO. 19-9702636-M,178882,199702636m
,L5751690243,,RAFFLES CITY,THE BODY SHOP|IS OUR SOURCE|THEBODYSHOP,179103,M20119094X
,L57RCS02,RAFFLES CITY SINGAPORE - MARKS & SPENCER,RAFFLES CITY|252 NORTH BRIDGE RD|RAFFLES,MARKS & SPENCER|BACCARAT|WWW.TELLMANDSSG.COM,179103,MR85001447
219,L16065730284,BUKIT PANJANG PLAZA - EIGHTEEN CHEFS,BUKIT PANJANG PLAZA|1 JELEBU ROAD,EIGHTEEN CHEFS|TEL:6767 0557|GST REG NO :200703692R,67743,200703692R
220,L16000010032,BUKIT PANJANG PLAZA - AJISEN RAMEN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,AJISEN RAMEN|GST REG: M90370629T|TEL: 6465 0735,677743,M90370629T
221,L1800090479,LOT ONE - PASTAMANIA,LOT ONE|21 CHOA CHU KANG AVE 4,PASTAMANIA|TEL: 6765 2213|CO./GST REG. NO.: 20-0108110-Z|FAX: 6765 2308|WWW.PASTAMANIA.COM.SG,689812,200108110Z
223,L0530031296,IMM BUILDING - SEOUL GARDEN HOTPOT,IMM BUILDING|2 JURONG EAST,SEOUL GARDEN HOTPOT|TEL:65668339,,M90001079Y
227,L25082140753,WESTGATE - ADRIFT ANAPAUO MASSAGE & SPA,WESTGATE|3 GATEWAY DRIVE,ADRIFT|ADRIFT ANAPAUO|ADRIFT ANAPAUO MASSAGE & SPA|TEL:88224567|WWW.AA-SPA.SG,608532,
232,L2408940132,BEDOK MALL - KIDDY PALACE,BEDOK MALL,KIDDY PALACE|TEL:68449355,,199201408M
233,L09080591064,JCUBE - SHI LI FANG,JCUBE|2 JURONG EAST CENTRAL 1,3 SHI LI FANG|FAMOUS FOOD CUBE|#02-08A|GST REG NO:201332719N,609731,201332719N
