Gank,New LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
375,L15075090575,THE ATRIUM@ORCHARD - KAI SUSHI & RABATAYAKI,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,KAI SUSHI & ROBATAYAKI|TEL: 6336 1480,169347,200613899R
562,L0417110492,PLAZA SINGAPURA - KAI SUSHI & GRILL,PLAZA SINGAPURA|MOBILE: 9455 3953,KAI SUSHI AND GRILL|TEL: 6299 1661|MOBILE:9455 3953,,200613899R
316,L1814390464,,LOT ONE|21 CHOA CHU KANG AVE 4,COTTON ON|TELEPHONE:001165676270,,200616872D
440,L0529112082,IMM BUILDING - COTTON ON KIDS OUTLET,IMM BUILDING|2 JURONG EAST,COTTON ON KIDS|KIDS IMM (OUTLET)|SHOP NO1-33|TELEPHONE: +65 6569 7204|WWW.COTTONONKIDS.COM,,200616872D
441,L2403670087,BEDOK MALL - COTTON ON,BEDOK MALL,COTTON:ON|COTTON ON SING|SHOP B1-71/72|TELEPHONE: +65 68449377,,200616872D
461,L05079182775,IMM Building - COTTON ON BODY Outlet,IMM BUILDING|2 JURONG EAST,COTTON ON BODY|BODY CLEARANCE)|TELEPHONE: +65 64250748,609601,200616872D
486,L0318150372,TAMPINES MALL - COTTON ON KIDS,TAMPINES MALL|4 TAMPINES CENTRAL 5,COTTON ON KIDS|COTTON ON|SHOP 02-18A|TELEPHONE: +65 67840510,529510,200616872D
470,L0203670341,JUNCTION 8 - COTTON ON,JUNCTION 8|9 BISHAN PLACE,COTTON ON|01-43/44|TELEPHONE: +65 6250 6242,579937,200616872D
30,L0603670225,Bugis Junction - COTTON ON,BUGIS (MEGA)|Bugis Junction|201 Victoria Street,COTTON:ON|02-14a Bugis|Telephone: +65 6238 0762|www.cottonon.com|CottonOn_SG,188021,200616872D
158,L0403670082,Plaza Singapura - COTTON ON,Plaza Singapura|68 Orchard Road,COTTON:ON|Telephone: +65 6835 7521,238877,200616872D
165,L0418150304,Plaza Singapura - COTTON ON KIDS,PLAZA SINGAPURA|68 Orchard Road,COTTON ON KIDS|Telephone: + 65 6337 5057,,200616872D
328,L0528832058,,IMM BUILDING|2 JURONG EAST,COLD WEAR|TEL:(65)65693515,609301,200617519R
192,L05077742730,,IMM BUILDING|2 JURONG EAST|IMM|609601,SKECHERS|SKECHERS SING|TEL:68963290,609601,200618576R
104,LSPC900058,SingPost Centre - SKECHERS,10 Eunos Road 8,SKECHERS SING|#01-101/102|Tel : 6747 2298,,200618576R
148,L18030740071,Lot One - SKECHERS,21 CHOA CHU KANG AVE 4|LOT ONE,SKECHERS|4 #02-15|Tel : 6767 0434,689812,200618576R
144,L25086930559,WESTGATE - IRVINS SALTED EGG,WESTGATE|3 GATEWAY DRIVE,COCOBA|IRVINS SALTED EGG|UNIT NO. #02-K3|TEL NO: 6264 3076|WWW.IRVINSALTEDEGG.COM,608532,200702419E
338,L0562082329,IMM BUILDING - PUMA OUTLET,IMM BUILDING|2 JURONG EAST,PUMA - IM|UNIT 01-22|TEL-65630515,609607,2007033999R
219,L16065730284,BUKIT PANJANG PLAZA - EIGHTEEN CHEFS,BUKIT PANJANG PLAZA|1 JELEBU ROAD,EIGHTEEN CHEFS|TEL:6767 0557,67743,200703692R
376,L06065730701,BUGIS JUNCTION - EIGHTEEN CHEFS,BUGIS JUNCTION|200 VICTORIA STREET,EIGHTEEN CHEFS|TEL: 6734 9741,188021,200703692R
404,L22065730467,THE STAR VISTA - EIGHTEEN CHEFS,THE STAR VISTA|1 VISTA EXCHANGE GREEN,EIGHTEEN CHEFS|TEL:6694 5975,138617,200703692R
438,L09065730653,JCUBE - EIGHTEEN CHEFS,JCUBE|2 JURONG EAST CENTRAL 1,EIGHTEEN CHEFS|TEL: 6334 3606,609711,200703692R
155,L0461230517,Plaza Singapura - A.LAB,68 Orchard Road|Plaza Singapura,A.LAB|Road #04-12B|TEL:67841318,238839,200708457M
558,L0902270143,JCUBE - THAI EXPRESS,JCUBE|2 JURONG EAST CENTRAL 1,THAIEXPRESS|TEL:66844909,609731,200711627G
218,L0403760405,PLAZA SINGAPURA - XIN WANG HONG KONG CAFE,PLAZA SINGAPURA|68 ORCHARD ROAD,XIN WANG|XIN WANG HONG KONG|#06-08/09/10|TEL:68848698,,200711630D
324,L2226620143,,THE STAR VISTA|1 VISTA EXCHANGE GREEN,CENTRAL HK|CENTRAL HONG KONG|TEL:62689628,138617,200713409G
358,L0920660076,JCUBE - OLDTOWN WHITE COFFEE,JCUBE|2 JURONG EAST CENTRAL 1,OLDTOWN|TEL: 6684 4404|FAX: 6684 3204,609731,200719451C
87,L09001790291,JCUBE - ASTONS SPECIALITIES,JCUBE|JCUBE MALL|2 JURONG EAST CENTRAL 1,ASTONS|TEL: 6334 7072,609731,200719983N
,L2121710096,BUGIS+ - ASTONS,BUGIS PLUS|BUGIS+|201 VICTORIA STREET,ASTONS|TEL: 6334 7072,188067,200719983N
6,LSPC900026,SingPost Centre - Astons Specialities,Singpost Centre|10 Eunos Road 8,ASTONS|#01-114/115|Tel:67470860,408600,200719983N
23,L09200853008,JCube - Aji Ichi,J CUBE| 2 Jurong East Central 1,Aji - Ichi|#01-07 JCUBE|TEL: 6570 2526,609731,200719983N
82,LSPC900025,SingPost Centre - Aji-ichi,SINGPOST CENTER|10 Eunos Road 8,Aji - ichi|#01-114/115|TEL: 67470713,408600,200719983N
267,L05065182466,IMM BUILDING - CHARLES & KEITH OUTLET,IMM BUILDING|2 JURONG EAST|IMM|609601,CHARLES & KEITH OUTLET|PHONE NO:+65639020|CUSTOMER@CHARLESKEITH.COM|CUSTOMER SERVICE NUMBER: +(65) 6488 2688,609601,200802300D
541,L0600200281,BUGIS JUNCTION - CHARLES & KEITH,BUGIS JUNCTION|200 VICTORIA STREET,CHARLES & KEITH|PHONE NO: +(65) 63380537|CUSTOMERS@CHARLESKEITH.COM,188021,200802300D
179,L0400200150,Plaza Singapura - CHARLES & KEITH,Plaza Singapura|68 Orchard Road,CHARLES & KEITH|#02-28/28A|PHONE No: +(65) 6488 2688|customer@charleskeith.com,238839,200802300D
491,L15015990619,THE ATRIUM@ORCHARD - T K FOTO,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,T K FOTO TECHNIC|TEL: 6338 5905|FAX: 6338 5890,238839,200809540W
178,L05085902037,,IMM BUILDING|IMM,DEASSIKSIN|TEL: 6264 9650,,200810220Z
124,L16062250364,BUKIT PANJANG PLAZA - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,BUKIT PANJANG PLAZA|1 JELEBU ROAD,OLD STREET BAK KU THE (BP),677743,200811393M
134,L0223300284,JUNCTION 8 - A-ONE CLAYPOT HOUSE,JUNCTION 8|9 BISHAN PLACE,A-ONE|CLAYPOT HOUSE|TEL: 6258 5119,579837,200813285Z
,L22023300356,,VISTA EXCHANGE GREEN|THE STAR VISTA,A-ONE|CLAYPOT HOUSE|TEL: 6734 6567,138617,200813285z
,L24023300483,BEDOK MALL - A-ONE CLAYPOT HOUSE,BEDOK MALL|311 NEW UPPER CHANGI ROAD,A-ONE|CLAYPOT HOUSE|TEL: 6584 0828,467360,200813285Z
58,L1524330406,THE ATRIUM@ORCHARD - UNIQLO,PLAZA SINGAPURA|68 ORCHARD ROAD,UNIQLO|WWW.UNIQLO.COM|#03-53 TO 62,238839,200816544K
48,L2424330245,BEDOK MALL - UNIQLO,BEDOK MALL|311 NEW CHANGI ROAD|BEDOK|467360,UNIQLO|WWW.UNIQLO.COM|TEL: 6844 9513,467360,200816544K
35,L2124330311,BUGIS+ - UNIQLO,BUGIS+|2012 VICTORIA STREET|188067,UNIQLO|WWW.UNIQLO.COM|TEL: 6238 7401,188067,200816544K
90,L09071100999,JCUBE - SAIZERIYA,JCUBE|JCUBE MALL,SAIZERIYA|TEL: 6268 7512,609731,200818603R
,L22071100573,,STAR VISTA|1 VISTA EXCHANGE GREEN,SAIZERIYA|6734 2580,138617,200818603R
95,L0220880087,JUNCTION 8 - WATAMI JAPANESE CASUAL RESTAURANT,JUNCTION 8|9 BISHAN PLACE,WATAMI|WATAMI JAPANESE CASUAL|TEL:6258 3577|FAX:6258 3803,579837,200821208R
247,L2220880374,THE STAR VISTA - WATAMI JAPANESE CASUAL RESTAURANT,THE STAR VISTA|1 VISTA EXCHANGE GREEN,WATAMI JAPANESE CASUAL|TEL3643,138617,200821208R
,L2124470336,BUGIS+ - SEPHORA,BUGIS+|201 VICTORIA STREET|188067,SEPHORA|#02-06/07/08/09|TEL: 63419386|63419623,188067,200822866n
278,L1524470219,,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|60B ORCHARD ROAD,SEPHORA|TEL:62386690,238891,200822866N
4,L025SEP0001,Westgate - Sephora,3 GATEWAY DRIVE|WESTGATE,SEPHORA|TEL : 62510574,608532,200822866N
159,L1600700026,Bukit Panjang Plaza - BURGER KING,Bukit Panjang Plaza,Burger King,,200900741N
249,L1807830454,LOT ONE - FOOD JUNCTION,LOT ONE|LOT 1,FOOD JUNCTION|FU XIANG F&B PTE LTD,,200901062E
115,L25086350685,WESTGATE - IPPUDO SG @ WESTGATE,WESTGATE|3 GATEWAY DRIVE,IPPUDO SG|TEL: +65 6465 9308|WWW.IPPUDO.COM.SG,608532,200904034W
8,L22030563077,The Star Vista - Ippudo,Star Vista|1 Vista Exchange Green,IPPUDO|Tel : 6734 1596|Fax : 6734 1646,138617,200904034W
534,L57250693168,RAFFLES CITY SINGAPORE - PAPERMARKET,RAFFLES CITY|252 NORTH BRIDGE RD,PAPERMARKET|TEL: 6333 9007|WWW.PAPERMARKET.COM.SG,179103,200904113R
469,L06068350687,BUGIS JUNCTION - MOOKATA,BUGIS JUNCTION|200 VICTORIA STREET,MOOKATA|TRADITIONAL THAI BBQ,188021,200905082R
88,L03017660586,TAMPINES MALL - ITACHO SUSHI,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,ITACHO SUSHI|ITACHO|67895388,529510,200906024W
146,L0617660469,BUGIS JUNCTION - ITACHO SUSHI,BUGIS JUNCTION|200 VICTORIA STREET|SINGAPORE 188021,ITACHO SUSHI|ITACHO|TEL: 63378911,188021,200906024W
139,L0417660505,PLAZA SINGAPURA - ITACHO SUSHI,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,ITACHO SUSHI|ITACHO|TEL: 63378922,238839,200906024W
101,L2417660065,BEDOK MALL - ITACHO SUSHI,BEDOK MALL|311 NEW UPPER CHANGI ROAD,ITACHO SUSHI|ITACHO|TEL: 62278911,467360,200906024W
13,L0920510061,JCube - ITACHO SUSHI  JIKA UDON,2 Jurong East Central 1|Jcube,#02-14 2 Jurong|Tel: 66844083,609731,200906024W
428,L0402290180,PLAZA SINGAPURA - SECRET RECIPE,PLAZA SINGAPURA|68 ORCHARD ROAD,SECRET RECIPE|TEL: 63419909|FAX: 63419949|SECRETRECIPE.COM.SG,,200908575W
20,L24200303084,Bedok Mall - So,311 New Upper Changi Rd,www.soramen.com.sg|Tel. +65 6844 9441,467360,200909241M
377,L24200303084,BEDOK MALL - RAMENPLAY,BEDOK MALL|311 NEW UPPER CHANGI RD,RAMENPLAY|TEL. +65 6844 9441,467360,200909421M
595,L18024180467,LOT ONE - XNDO,LOT ONE|21 CHOA CHU KANG AVE 4,XNDO|FOOD FOR HEALTH|XNDO PTE,689812,200909819E
564,L0529412104,IMM BUILDING - POPEYES,IMM BUILDING|2 JURONG EAST,POPEYES|TEL: 65695805|WWW.TELLPOPEYESSINGAPORE.COM,609601,200910800E
487,L21062450484,BUGIS+ - DAESSIKSIN KOREAN BBQ,BUGIS+,DAE SSIK SIN|TEL: 65091761,,200911513D
488,L22070520359,THE STAR VISTA - (CHIBING),THE STAR VISTA,CHI BING|CHI BING (TRUE FORTUNE)|01-43/K4 THE STAR VISTA::01-43,138617,200913091D
121,L09084950289,JCube - Ayam Penyet President,JCube|2 Jurong East Central 1,Ayam Penyet President|JCube #01-05|Tel: 67340786,609731,200915335G
532,L16027760350,BUKIT PANJANG PLAZA - NENE CHICKEN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,NENE CHICKEN|TEL: 6769 5883,677743,200916227W
145,L1521450298,THE ATRIUM@ORCHARD - NANA'S GREEN TEA,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|60B ORCHARD ROAD,NANA'S GREEN TEA|TEL: 6684 4312,238891,201000940E
,L2417650135,,311 NEW UPPER CHANGI ROAD|BEDOK MALL,SHENG KEE|HKBKM.MFB.AC,467360,201002443w
499,L05076752599,IMM BUILDING - CROCS OUTLET,IMM BUILDING|2 JURONG EAST,CROCS|TEL NO. 6569 5248|WWW.CROCS.COM,609601,201005805R
79,L0311180372,Tampines Mall - Crocs,Tampines Mall|4 Tampines Cnetral 5,croscs|#01-17 Tamp|Tel No. 67818053,529510,201005805R
203,L2124430321,,BUGIS+|201 VICTORIA STREET|SINGAPORE 188067,COCO ICHIBANYA|TEL: 6341 9978,188067,201009695G
189,L25024430431,,WESTGATE|3 GATEWAY DRIVESINGAPORE 608532,COCO ICHIBANYA|TEL/FAX: 6710 7062 / 6710 7063,608532,201009695G
336,L2224430238,THE STAR VISTA - COCO ICHIBANYA,THE STAR VISTA|1 VISTA EXCHANGE GREEN,COCO ICHIBANYA|TEL:63419978,138617,201009695G
341,L57250793222,RAFFLES CITY SINGAPORE - COCO ICHIBANYA,RAFFLES CITY|252 NORTH BRIDGE ROAD,ICHIBANYA|COCO ICHIBANYA|TEL:62514808,179103,201009695G
463,L15024430583,THE ATRIUM@ORCHARD - COCO ICHIBANYA,IMM BUILDING|68 ORCHARD ROAD|238839,COCO ICHIBANYA|TEL/FAX: 6238 7539 / 6238 7540,238839,201009695G
45,L24087093144,BEDOK MALL - CANTON PARADISE,BEDOK MALL|311 NEW UPPER CHANGI ROAD|BEDOK|467360,CANTON PARADISE|TEA HOUSE|FAX: 6844 9243,467360,201010317N
100,L2226910269,THE STAR VISTA - CANTON PARADISE TEAHOUSE,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617|STAR VISTA,CANTON PARADISE|TEA HOUSE|FAX: 6694 2936,138617,201010317N
74,L18028850084,LOT ONE - PARADISE DYNASTY,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,PARADISE|PARADISE DYNASTY|TEL: 6766 2380|FAX: 6766 2557,689812,201010512H
62,L2528850295,WESTGATE - PARADISE DYNASTY,WESTGATE|3 GATEWAY DRIVE,PARADISE DYNASTY|FAX: 6465 9272,608532,201010512H
176,L5753650480,Raffles City Singapore - FOREVER NEW,RAFFLES NEW,FOREVER NEW|Forever New|Telphone: + 65 6337 8327,,201014172M
344,L1617850113,BUKIT PANJANG PLAZA - MIND STRETCHER LEARNING CENTRE,BUKIT PANJANG PLAZA|BUKIT PANJANG|1 JELEBU ROAD|677743,MIND STRETCHER LEARNING|WWW.MINDSTRETCHER.COM,677743,201017990C
350,L06078390917,BUGIS JUNCTION - LENU CHEF WAI'S NOODLE BAR,BUGIS JUNCTION|200 VICTORIA STREET,LE NU BUGIS|LENU CHEF WAI'S NOODLE BAR|TEL: 6336 7965|FAX: 6336 0685,188021,201023944N
80,LSPC900028,SingPost Centre - Carl's Jr,SINGPOST,PAYA LEBAR,,20-1024105-N
78,L05038232529,,IMM MALL|IMM BUILDING|2 JURONG EAST|S(609601)|IMM,SUSHI EXPRESS|TEL:6563 2748,609601,201025838D
53,L2538230316,WESTGATE - SUSHI EXPRESS,WESTGATE|3 GATEWAY DRIVE,SUSHI EXPRESS|TEL:6465 9326,608532,201025838D
120,L21002910427,BUGIS+ - GENKI SUSHI,BUGIS+|201 VICTORIA STREET|SINGAPORE 188067,GENKI SUSHI|GENKI SUSHI BUGIS+,188067,201100057G
551,L2529240270,WESTGATE - PAUL,WESTGATE,PAUL|UNIT 01-05/05A,,201103352E
427,L1602100217,BUKIT PANJANG PLAZA - BEAUTY LANGUAGE,BUKIT PANJANG PLAZA|1 JELEBU RD|677743|BUKIT,BEAUTY LANGUAGE|WWW.BEAUTYLANGUAGE.COM,677743,201103695M
553,L0302100413,TAMPINES MALL - BEAUTY LANGUAGE,TAMPINES MALL|4 TAMPINES CENTRAL 5,BEAUTY LANGUAGE,529510,201103695M
193,L1802100512,LOT ONE - BEAUTY LANGUAGE,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,BEAUTY LANGUAGE|TEL: 6894 2823|FAX: 6894 2823|WWW.BEAUTYLANGUAGE.COM,689812,201103695M
112,L2502100321,Westgate - Beauty Language,3  GATEWAY DRIVE,DRIVE #B1-31|TEL: 6465 9329|FAX: 6465 9329|www.beautylanguage.com,608532,201103695M
191,L22064230492,THE STAR VISTA - YAYOI,THE STAR VISTA|1 VISTA EXCHANGE GREEN,YAYOI|TEL :6570 2668|YAYOIKEN,138617,201104609W
266,L21064230417,BUGIS+ - YAYOI,BUGIS+|201 VICTORIA STREET|SINGAPORE 188067,YAYOI|YAYOIKEN|TEL:66365448,188067,201104609W
396,L06031640838,BUGIS JUNCTION - PARIS BAGUETTE CAFE,BUGIS JUNCTION|200 VICTORIA STREET,PARIS BAGUETTE,,201108952N
,L0321640264,,TAMPINES MALL|4 TAMPINES CENTRAL 5,O'NYA SAYANG|TEL: 67838140,529510,201112734c
116,L21068810472,BUGIS+ - RAMEN CHAMPION,BUGIS+|201 VICTORIA STREET,OTARU SUISAN|RAMEN|RAMEN CHAMPION|IS+ #04-10,188067,201113013Z
12,L21201393072,Bugis+ - Ramen Champion Vs Japan Food,201 Victoria street,RAMEN CHAMPION|Bugis+ #04-10,188067,201113013Z
,L0528822077,,IMM SHOPPING MALL|2 JURONG EAST,SACOOR|DELTA RETAIL TRADING|PHONE: 65696903,609601,201114985w
172,L57136370615, RAFFLES CITY SINGAPORE - COMNAM - VIETNAMESE STREET EATS / NAMNAM NOODLE,RAFFLES CITY|252 NORTH BRIDGE ROAD,NAM NAM|COMNAM|COMNAM-VIETNAMESE STREET EATS|WWW.NAMNAMNOODLEBAR.COM.SG|TEL:63347377,179103,201116280N
253,L15062990439,THE ATRIUM@ORCHARD - NAMNAM NOODLE BAR,PLAZA SINGAPURA|68 ORCHARD ROAD,NAM NAM NOODLE BAR|TEL:68372252|WWW.NAMNAMNOODLEBAR.COM.SG,238839,201116280N
510,L02080700086,JUNCTION 8 - CENTRAL THAI,JUNCTION 8|9 BISHAN PLACE,CENTRAL THAI|TEL: 6694 3175|WWW.CENTRALTHAI.COM.SG,579837,201118375D
,L02023220178,,JUNCTION 8|9 BISHAN PLACE,JAPAN HOME,579837,201127632E
,L16023220340,,BUKIT PANJANG PLAZA|1 JELEBU ROAD|677743,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 6891 0694,677743,201127632E
,L1823220294,,LOT 1|LOT ONE|21 CHOA CHU KANG,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 64683884,689812,201127632E
,L22023220347,,STAR VISTA|1 VISTA EXCHANGE GREEN|THE STAR VISTA,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 67342807,138617,201127632E
,L2423220152,,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 68449600,467360,201127632E
272,L2226900172,THE STAR VISTA - J-MART,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617,J-MART::J-|Cashier:JMART1::JMART,138617,201127682H
433,L2124020323,BUGIS+ - BONCHON CHICKEN,BUGIS+|201 VICTORIA STREET,BONCHON|TEL: 6884 4768,188067,201129708Z
257,L16066980188,BUKIT PANJANG PLAZA - TONKOTSU KAZAN RAMEN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,TONKOTSU KAZAN RAMEN|#01-64 65,677743,201130958D
281,L05070572613,IMM BUILDING - LIAN PENG BAK KUT TEH,IMM BUILDING|JURONG EAST ST 21,LIAN PENG BAK KUT THE,609601,201131356K
305,L5754030610,,RAFFLES CITY|252 NORTH BRIDGE ROAD,TIONG BAHRU|TIONG BAHRU BAKERY|TEL:(65)63334160,179103,201133471H
386,L2226210153,THE STAR VISTA - WRAP & ROLL,THE STAR VISTA|1 VISTA EXCHANGE GREEN,WRAP|WRAP & ROLL,,201135300G
59,L05024942465,IMM BUILDING - HAIDILAO HOT POT,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG,HAIDILAO,,201201446C
471,L05078662756,IMM BUILDING - NOVELA OUTLET,IMM BUILDING|2 JURONG EAST,NOVELA|TEL NO.: 65643173,,201205310H
176,L2526690345,WESTGATE - PAPPARICH,WESTGATE|3 GATEWAY DRIVE,PAPPARICH|TEL:6358 2232,608532,201205313C
,L0201970027,,JUNCTION 8|9 BISHAN PLACE,SAKAE SUSHI|SAKAE SUSHI (J8)|TEL: (65) 67348552,579837,201208407R
535,L0526381403,IMM Building - Ipoh Lou Yau Bean Sprouts Chicken,IMM BUILDING|2 JURONG EAST,#01-K09 IMM|LOU YAU BEAN SPROUTS CHICKEN|TEL: 65673533,609601,201209880R
547,L0226380364,JUNCTION 8 - IPOH LOU YAU BEAN SPROUTS CHICKEN,JUNCTION 8|9 BISHAN PLACE,LOU YAU BEAN SPROUTS CHICKEN|TEL: 6258 3323,579837,201209880R
117,L2217660155,THE STAR VISTA - ITACHO SUSHI,STAR VISTA|1 VISTA EXCHANGE GREEN,ITACHO SUSHI|ITACHO|TEL: 66940880,138617,201210694N
142,L2526870296,WESTGATE - HOT TOMATO CAFE & GRILL,WEST GATE|3 GATEWAY DRIVE,HOT TOMATO CONCEPT,608532,201210852K
261,L2226790258,THE STAR VISTA - MORGANFIELD'S,THE STAR VISTA|1 VISTA EXCHANGE GREEN,MORGANFIELD'S|WWW.MORGANFIELDS.COM.SG|FB.COM/MORGANFIELDSSINGAPORE,138617,201210937N
145,L05087142905,IMM Building - Asics Factory Outlet,2 Jurong East Street 21,asics|ASICS IMM|#02-12 IMM|Tel: 6255 4404,,201213268K
107,L2125610301,Bugis+ - Hood Bar And Cafe,Bugis Plus|201 Victoria St 05 07,Hood Bar|Tel : 62218846|www.hoodbarandcafe.com|www.facebook.com/ilovehood,188067,201213384G
35,L04201033166,Plaza Singapura - FAYTH,Plaza Singapura|68 Orchard Road,fayth|www.fayth.com|Fayth!,238839,201213643H
523,L2227350256,THE STAR VISTA - BORNGA,THE STAR VISTA|1 VISTA EXCHANGE GREEN,BORNGA,138617,201215714H
,L15029010470,THE ATRIUM@ORCHARD - TSUKADA NOJO,THE ATRIUM LEVEL,TSUKADA NOJO|TEL:6336 5003,238891,201216307g
,L2529010343,,WEST GATE|3 GATEWAY DRIVE,TSUKADA NOJO,608532,201216307G
,L57128370091,RAFFLES CITY SINGAPORE - RIVERSIDE GRILLED FISH,RAFFLES CITY|252 NORTH BRIDGE ROAD,RIVERSIDE GRILLED FISH|TEL: 6352 2035,179103,201220758z
47,L2529760272,WESTGATE - TIM HO WAN,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,TIM HO WAN,608532,201301178C
127,L0429760588,PLAZA SINGAPURA - TIM HO WAN,PLAZA SINGAPURA|68 ORCHARD ROAD,TIM HO WAN|#01-29A/52,238839,201301178C
348,L04085510073,PLAZA SINGAPURA - LET'S MEAT UP,PLAZA SINGAPURA|68 ORCHARD ROAD,LET'S MEAT UP|TEL: 6835 7832,238839,201302451Z
31,L06090023019,Bugis Junction - One Canton,200 Victoria Street|Bugis Junction,ONE CANTON|#01-69 Bugis,188021,201302451Z
150,L2538470315,WESTGATE - OLD STREET BAK KUT TEH,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 068532,OLD STREET BAK KU THE|TEL: 67591082|35494K,608532,201303398H
526,L0630850227,BUGIS JUNCTION - SUMIRE YAKITORI HOUSE,BUGIS JUNCTION,SUMIRE YAKITORI HOUSE|FAX: +65 6338 9953|NO. 80 MIDDLE ROAD,188966,201305138R
327,L0300230012,TAMPINES MALL -  BEE CHENG HIANG,TAMPINES MALL,BEE CHENG HIANG|TEL: 6781 7877,,201305925G
474,L0200230021,JUNCTION 8 -  BEE CHENG HIANG,JUNCTION 8,BEE CHENG HIANG|TEL: 6353 5455|BCH@BCH.COM.SG,,201308172K
,L2431090214,,BEDOK,OWNDAYS|#01-60/61,,201308429G
318,L05066912261,,IMM BUILDING,OWNDAYS OUTLET|#01-11/12,,201308429G
,L0207830212,,JUNCTION 8,FOOD JUN|STALL #10,,201311836H
451,L2426380006,Bedok Mall - Ipoh Lou Yau Bean Sprouts Chicken,BEDOK MALL|311 NEW UPPER CHANGI ROAD,#B2-28 BedokLOU YAU BEAN SPROUTS CHICKEN,467360,201312716E
405,L25072270720,WESTGATE - LADY M CONFECTIONS,WESTGATE|3 GATEWAY DRIVE,LADY M @|TEL: +65 6250 8993|EMAIL:CS@LADYM.COM.SG,608532,201313768G
277,L2531210078,,WESTGATE|3 GATEWAY DRIVE,TONKATSU BISTRO BY MA MAISON,608532,201314391G
119,L25201373269,Westgate - Bowl Thai,3 Gateway Drive,BOWL THAI|#B2-K12 Westgate|Tel:6465 9465,608532,201315893W
,L2531880274,,WESTGATE|3 GATEWAY DRIVE,MIAM MIAM|MIAM MIAM SING|POWER BY REVEL SYSTEMS,608532,201315935W
240,L0631880788,BUGIS JUNCTION - MIAM MIAM,BUGIS JUNCTION|200 VICTORIA STREET,MIAM M AM|POWER BY REVEL SYSTEMS,188021,201315935W
587,L0238820398,JUNCTION 8 - ORBIS,JUNCTION 8|9 BISHAN PLACE|SINGAPORE 579837,ORBIS|ORBIS ASIA PACIFIC|TEL NO.:6334 2768,579837,201317584E
246,L15080490615,THE ATRIUM@ORCHARD - NANJING IMPRESSIONS,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,NANJING DAPAIDANG|TEL NO: 6352 7877,238839,201328810K
315,L05200803667,,IMM BUILDING|2 JURONG EAST,UNDER ARMOUR OUTLET|UA SPORTS (S.E.A)|TEL:68731680,609601,201331463M
33,L06071520643,Bugis Junction - UNDER ARMOUR,200 Victoria Street|Bugis Junction,UNDER ARMOUR|#01-77/78/79/80/77A/78A/79A/80A|Tel:6837 0913,188021,201331463W
294,L2560310302,WESTGATE - YVES ROCHER,WESTGATE,YVES ROCHER|LUXYR COSMETICS| NO.: 201332680K,,201332680K
233,L09080591064,JCUBE - SHI LI FANG,JCUBE|2 JURONG EAST CENTRAL 1,3 SHI LI FANG|FAMOUS FOOD CUBE|#02-08A,609731,201332719N
379,L2532000184,WESTGATE - PHO STREET,WESTGATE|3 GATEWAY DRIVE,PHO STREET|#B2-K6/K7|TEL: 6465 9925,608532,20135899D
601,L2432000170,BEDOK MALL - PHO STREET,BEDOK MALL|311 UPPER CHANGI ROAD,PHO STREET|PHOBKM.MFB.AC,467360,20135899D
546,L57112480671,RAFFLES CITY SINGAPORE - SUFOOD,RAFFLES CITY|252 NORTH BRIDGE ROAD,SUFOOD|TEL: 6333 5338,,201400646C
385,L04026690640,PLAZA SINGAPURA - PAPPARICH,PLAZA SINGAPURA|68 ORCHARD ROAD,PAPPARICH|TEL: 6735 9323,238839,201400763H
262,L0962300412,JCUBE - OPPA KOREAN GRILL BBQ,JCUBE|2 JURONG EAST CENTRAL|,OPPA KOREAN GRILL BBQ|KOREAN FOOD UNITED|TEL:63395841,609731,201402040C
531,L22064050481,THE STAR VISTA - IMAKATSU,THE STAR VISTA| 1 VISTA EXCHANGE GREEN,IMAKATSU|TEL6148,138617,20141019E
,L04029490072,PLAZA SINGAPURA - 4FINGERS CRISPY CHICKEN,PLAZA SINGAPURA|68 ORCHARD ROAD,4FINGERS CRISPY CHICKEN|WWW.4FINGERS.COM,238839,201411212R
