No,Location Code,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
139,L5751050137,Raffles City Singapore - The Reflexology Company,252 North Bridge Road|Raffle City,THE REFLEXOLOGY COMPANY|#03-12 Raffle|Tel: 6337 7947,179103,200611596G
375,L15075090575,The Atrium@Orchard - Kai Sushi & Robatayaki,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,KAI SUSHI & ROBATAYAKI|TEL: 6336 1480,169347,200613899R
562,L0417110492,Plaza Singapura - Kai Sushi & Grill,PLAZA SINGAPURA|MOBILE: 9455 3953,KAI SUSHI AND GRILL|TEL: 6299 1661|MOBILE:9455 3953,,200613899R
316,L1814390464,Lot One - COTTON ON BODY / COTTON ON,LOT ONE|21 CHOA CHU KANG AVE 4,COTTON ON|TELEPHONE:001165676270,,200616872D
440,L0529112082,IMM Building - COTTON ON KIDS Outlet,IMM BUILDING|2 JURONG EAST::2,COTTON ON KIDS|KIDS IMM (OUTLET)|SHOP NO1-33|TELEPHONE: +65 6569 7204|WWW.COTTONONKIDS.COM,,200616872D
441,L2403670087,Bedok Mall - COTTON ON,BEDOK MALL,COTTON:ON|COTTON ON SING|SHOP B1-71/72|TELEPHONE: +65 68449377,,200616872D
461,L05079182775,IMM Building - COTTON ON BODY Outlet,IMM BUILDING|2 JURONG EAST::2,COTTON ON BODY|BODY CLEARANCE)|TELEPHONE: +65 64250748,609601,200616872D
486,L0318150372,Tampines Mall - COTTON ON KIDS,TAMPINES MALL|4 TAMPINES CENTRAL 5,COTTON ON KIDS|COTTON ON|SHOP 02-18A|TELEPHONE: +65 67840510,529510,200616872D
470,L0203670341,Junction 8 - COTTON ON,JUNCTION 8::8|9 BISHAN PLACE,COTTON ON|01-43/44|TELEPHONE: +65 6250 6242,579937,200616872D
30,L0603670225,Bugis Junction - COTTON ON,BUGIS (MEGA)|Bugis Junction|201 Victoria Street,COTTON:ON|02-14a Bugis|Telephone: +65 6238 0762|www.cottonon.com|CottonOn_SG,188021,200616872D
158,L0403670082,Plaza Singapura - COTTON ON,Plaza Singapura|68 Orchard Road,COTTON:ON|Telephone: +65 6835 7521,238877,200616872D
165,L0418150304,Plaza Singapura - COTTON ON KIDS,PLAZA SINGAPURA|68 Orchard Road,COTTON ON KIDS|Telephone: + 65 6337 5057,,200616872D
328,L0528832058,IMM Building - COLDWEAR Outlet,IMM BUILDING|2 JURONG EAST::2,COLD WEAR|TEL:(65)65693515,609301,200617519R
192,L05077742730,IMM Building - SKECHERS OUTLET,IMM BUILDING|2 JURONG EAST::2|IMM|609601,SKECHERS|SKECHERS SING|TEL:68963290,609601,200618576R
104,LSPC900058,SingPost Centre - SKECHERS,10 Eunos Road 8,SKECHERS SING|#01-101/102|Tel : 6747 2298,,200618576R
148,L18030740071,Lot One - SKECHERS,21 CHOA CHU KANG AVE 4|LOT ONE,SKECHERS|4 #02-15|Tel : 6767 0434,689812,200618576R
144,L25086930559,Westgate - Irvins Salted Egg,WESTGATE|3 GATEWAY DRIVE,COCOBA|IRVINS SALTED EGG|UNIT NO. #02-K3|TEL NO: 6264 3076|WWW.IRVINSALTEDEGG.COM,608532,200702419E
338,L0562082329,IMM Building - PUMA Outlet,IMM BUILDING|2 JURONG EAST::2,PUMA - IM|UNIT 01-22|TEL-65630515,609607,2007033999R
219,L16065730284,Bukit Panjang Plaza - EIGHTEEN CHEFS,BUKIT PANJANG PLAZA|1 JELEBU ROAD,EIGHTEEN CHEFS|TEL:6767 0557,67743,200703692R
376,L06065730701,Bugis Junction - EIGHTEEN CHEFS,BUGIS JUNCTION|200 VICTORIA STREET,EIGHTEEN CHEFS|TEL: 6734 9741,188021,200703692R
404,L22065730467,The Star Vista - EIGHTEEN CHEFS,THE STAR VISTA|1 VISTA EXCHANGE GREEN,EIGHTEEN CHEFS|TEL:6694 5975,138617,200703692R
438,L09065730653,JCube - EIGHTEEN CHEFS,JCUBE::JC|JURONG EAST CENTRAL 1,EIGHTEEN CHEFS|TEL: 6334 3606,609711,200703692R
155,L0461230517,Plaza Singapura - A.LAB,68 Orchard Road|Plaza Singapura,A.LAB|Road #04-12B|TEL:67841318,238839,200708457M
558,L0902270143,JCube - Thai Express,JCUBE::JC|JURONG EAST CENTRAL 1,THAIEXPRESS|TEL:66844909,609731,200711627G
218,L0403760405,Plaza Singapura - Xin Wang Hong Kong Cafe,PLAZA SINGAPURA|68 ORCHARD ROAD,XIN WANG|XIN WANG HONG KONG|#06-08/09/10|TEL:68848698,,200711630D
899,L2226620143,The Star Vista - CENTRAL HONG KONG CAF?,Vista Exchange Green|Star Vista,Central@STARVISTA::Central|B1-07 The|Tel: 6268 9628,138617,200713409G
358,L0920660076,JCube - OLDTOWN WHITE COFFEE,JCUBE::JC|JURONG EAST CENTRAL 1,OLDTOWN|TEL: 6684 4404|FAX: 6684 3204,609731,200719451C
87,L09001790291,JCube - Astons Specialities,JCUBE::JC|JCUBE MALL::JC|JURONG EAST CENTRAL 1,ASTONS|TEL: 6334 7072,609731,200719983N
,L2121710096,Bugis+ - Astons,BUGIS PLUS|BUGIS+::+|201 VICTORIA STREET,ASTONS|TEL: 6334 7072,188067,200719983N
6,LSPC900026,SingPost Centre - Astons Specialities,Singpost Centre|10 Eunos Road 8,ASTONS|#01-114/115|Tel:67470860,408600,200719983N
23,L09200853008,JCube - Aji Ichi,J CUBE::JC|Jurong East Central 1,Aji - Ichi|#01-07 JCUBE|TEL: 6570 2526,609731,200719983N
82,LSPC900025,SingPost Centre - Aji-ichi,SINGPOST CENTER|10 Eunos Road 8,Aji - ichi|#01-114/115|TEL: 67470713,408600,200719983N
267,L05065182466,IMM Building - CHARLES & KEITH Outlet,IMM BUILDING|2 JURONG EAST::2|IMM|609601,CHARLES & KEITH OUTLET|PHONE NO:+65639020|CUSTOMER@CHARLESKEITH.COM|CUSTOMER SERVICE NUMBER: +(65) 6488 2688,609601,200802300D
541,L0600200281,Bugis Junction - CHARLES & KEITH,BUGIS JUNCTION|200 VICTORIA STREET,CHARLES & KEITH|PHONE NO: +(65) 63380537|CUSTOMERS@CHARLESKEITH.COM,188021,200802300D
179,L0400200150,Plaza Singapura - CHARLES & KEITH,Plaza Singapura|68 Orchard Road,CHARLES & KEITH|#02-28/28A|PHONE No: +(65) 6488 2688|customer@charleskeith.com,238839,200802300D
491,L15015990619,The Atrium@Orchard - T K FOTO,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,T K FOTO TECHNIC|TEL: 6338 5905|FAX: 6338 5890,238839,200809540W
178,L05085902037,IMM Building - DAESSIKSIN KOREAN BBQ BUFFET AND JU HAO,IMM BUILDING|IMM,DEASSIKSIN|TEL: 6264 9650,,200810220Z
124,L16062250364,Bukit Panjang Plaza - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,BUKIT PANJANG PLAZA|1 JELEBU ROAD,OLD STREET BAK KU THE (BP),677743,200811393M
134,L0223300284,Junction 8 - AONE CLAYPOT HOUSE,JUNCTION 8::8|9 BISHAN PLACE,A-ONE|CLAYPOT HOUSE|TEL: 6258 5119,579837,200813285Z
,L22023300356,The Star Vista - AONE CLAYPOT HOUSE,VISTA EXCHANGE GREEN|THE STAR VISTA,A-ONE|CLAYPOT HOUSE|TEL: 6734 6567,138617,200813285z
,L24023300483,Bedok Mall - AONE CLAYPOT HOUSE,BEDOK MALL|311 NEW UPPER CHANGI ROAD,A-ONE|CLAYPOT HOUSE|TEL: 6584 0828,467360,200813285Z
58,L1524330406,The Atrium@Orchard - UNIQLO,PLAZA SINGAPURA|68 ORCHARD ROAD,UNIQLO|WWW.UNIQLO.COM|#03-53 TO 62,238839,200816544K
48,L2424330245,Bedok Mall - UNIQLO,BEDOK MALL|311 NEW CHANGI ROAD|BEDOK|467360,UNIQLO|WWW.UNIQLO.COM|TEL: 6844 9513,467360,200816544K
35,L2124330311,Bugis+ - UNIQLO,BUGIS+::+|2012 VICTORIA STREET,UNIQLO|WWW.UNIQLO.COM|TEL: 6238 7401,188067,200816544K
90,L09071100999,JCube - Saizeriya,JCUBE::JC|JCUBE MALL,SAIZERIYA|TEL: 6268 7512,609731,200818603R
,L22071100573,The Star Vista - Saizeriya,STAR VISTA|1 VISTA EXCHANGE GREEN,SAIZERIYA|6734 2580,138617,200818603R
95,L0220880087,Junction 8 - WATAMI Japanese Casual Restaurant,JUNCTION 8::8|9 BISHAN PLACE,WATAMI|WATAMI JAPANESE CASUAL|TEL:6258 3577|FAX:6258 3803,579837,200821208R
247,L2220880374,The Star Vista - WATAMI Japanese Casual Restaurant,THE STAR VISTA|1 VISTA EXCHANGE GREEN,WATAMI JAPANESE CASUAL|TEL3643,138617,200821208R
,L2124470336,Bugis+ - SEPHORA,BUGIS+::+|201 VICTORIA STREET,SEPHORA|#02-06/07/08/09|TEL: 63419386|63419623,188067,200822866n
278,L1524470219,The Atrium@Orchard - SEPHORA,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|60B ORCHARD ROAD,SEPHORA|TEL:62386690,238891,200822866N
4,L025SEP0001,Westgate - Sephora,3 GATEWAY DRIVE|WESTGATE,SEPHORA|TEL : 62510574,608532,200822866N
159,L1600700026,Bukit Panjang Plaza - BURGER KING,Bukit Panjang Plaza,Burger King,,200900741N
249,L1807830454,Lot One - Food Junction,LOT ONE|LOT 1,FOOD JUNCTION|FU XIANG F&B PTE LTD,,200901062E
115,L25086350685,Westgate - IPPUDO SG @ Westgate,WESTGATE|3 GATEWAY DRIVE,IPPUDO SG|TEL: +65 6465 9308|WWW.IPPUDO.COM.SG,608532,200904034W
8,L22030563077,The Star Vista - IPPUDO,Star Vista|1 Vista Exchange Green,IPPUDO|Tel : 6734 1596|Fax : 6734 1646,138617,200904034W
534,L57250693168,Raffles City Singapore - PaperMarket,RAFFLES CITY|252 NORTH BRIDGE RD,PAPERMARKET|TEL: 6333 9007|WWW.PAPERMARKET.COM.SG,179103,200904113R
469,L06068350687,Bugis Junction - Mookata,BUGIS JUNCTION|200 VICTORIA STREET,MOOKATA|TRADITIONAL THAI BBQ,188021,200905082R
88,L03017660586,Tampines Mall - ITACHO SUSHI,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,ITACHO SUSHI|ITACHO|67895388,529510,200906024W
146,L0617660469,Bugis Junction - ITACHO SUSHI,BUGIS JUNCTION|200 VICTORIA STREET|SINGAPORE 188021,ITACHO SUSHI|ITACHO|TEL: 63378911,188021,200906024W
139,L0417660505,Plaza Singapura - ITACHO SUSHI,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,ITACHO SUSHI|ITACHO|TEL: 63378922,238839,200906024W
101,L2417660065,Bedok Mall - ITACHO SUSHI,BEDOK MALL|311 NEW UPPER CHANGI ROAD,ITACHO SUSHI|ITACHO|TEL: 62278911,467360,200906024W
796,L0920510061,JCube - ITACHO SUSHI% JIKA UDON,Jcube::Jcube|Jurong East Central 1,ITACHO SUSHI |#02-14  2 Jurong|Tel:66844083,609731,200906024W
428,L0402290180,Plaza Singapura - Secret Recipe,PLAZA SINGAPURA|68 ORCHARD ROAD,SECRET RECIPE|TEL: 63419909|FAX: 63419949|SECRETRECIPE.COM.SG,,200908575W
711,L24200303084,Bedok Mall - S? ?,Bedok Mall|311 New Upper Changi RD,#B1-09|Tel . +65 6844 9441|soramen,467360,200909421M
595,L18024180467,Lot One - Xndo,LOT ONE|21 CHOA CHU KANG AVE 4,XNDO|FOOD FOR HEALTH|XNDO PTE,689812,200909819E
564,L0529412104,IMM Building - Popeyes,IMM BUILDING|2 JURONG EAST::2,POPEYES|TEL: 65695805|WWW.TELLPOPEYESSINGAPORE.COM,609601,200910800E
487,L21062450484,Bugis+ - DAESSIKSIN KOREAN BBQ,BUGIS+::+,DAE SSIK SIN|TEL: 65091761,,200911513D
904,L22070520359,The Star Vista - ??(Chibing),THE STAR VISTA,CHI BING|True Fortune|Tel: 62620689|01-43/K4 THE::01-43,138617,200913091D
121,L09084950289,JCube - Ayam Penyet President,JCube::JC|Jurong East Central 1,Ayam Penyet President|JCube #01-05|Tel: 67340786,609731,200915335G
532,L16027760350,Bukit Panjang Plaza - NENE CHICKEN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,NENE CHICKEN|TEL: 6769 5883,677743,200916227W
145,L1521450298,The Atrium@Orchard - nana's green tea,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|60B ORCHARD ROAD,NANA'S GREEN TEA|TEL: 6684 4312,238891,201000940E
,L2417650135,Bedok Mall - HONG KONG SHENG KEE DESSERT,311 NEW UPPER CHANGI ROAD|BEDOK MALL,SHENG KEE|HKBKM.MFB.AC,467360,201002443w
499,L05076752599,IMM Building - Crocs Outlet,IMM BUILDING|2 JURONG EAST::2,CROCS|TEL NO. 6569 5248|WWW.CROCS.COM,609601,201005805R
79,L0311180372,Tampines Mall - crocs,Tampines Mall|4 Tampines Cnetral 5,croscs|#01-17 Tamp|Tel No. 67818053,529510,201005805R
203,L2124430321,Bugis+ - CoCo ICHIBANYA,BUGIS+::+|201 VICTORIA STREET,COCO ICHIBANYA|TEL: 6341 9978,188067,201009695G
189,L25024430431,Westgate - CoCo ICHIBANYA,WESTGATE|3 GATEWAY DRIVESINGAPORE 608532,COCO ICHIBANYA|TEL/FAX: 6710 7062 / 6710 7063,608532,201009695G
336,L2224430238,The Star Vista - CoCo ICHIBANYA,THE STAR VISTA|1 VISTA EXCHANGE GREEN,COCO ICHIBANYA|TEL:63419978,138617,201009695G
341,L57250793222,Raffles City Singapore - CoCo ICHIBANYA,RAFFLES CITY|252 NORTH BRIDGE ROAD,ICHIBANYA|COCO ICHIBANYA|TEL:62514808,179103,201009695G
463,L15024430583,The Atrium@Orchard - CoCo ICHIBANYA,IMM BUILDING|68 ORCHARD ROAD|238839,COCO ICHIBANYA|TEL/FAX: 6238 7539 / 6238 7540,238839,201009695G
45,L24087093144,Bedok Mall - Canton Paradise / LeNu,BEDOK MALL|311 NEW UPPER CHANGI ROAD|BEDOK|467360,CANTON PARADISE|TEA HOUSE|FAX: 6844 9243,467360,201010317N
100,L2226910269,The Star Vista - Canton Paradise Teahouse,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617|STAR VISTA,CANTON PARADISE|TEA HOUSE|FAX: 6694 2936,138617,201010317N
74,L18028850084,Lot One - Paradise Dynasty,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,PARADISE|PARADISE DYNASTY|TEL: 6766 2380|FAX: 6766 2557,689812,201010512H
62,L2528850295,Westgate - Paradise Dynasty,WESTGATE|3 GATEWAY DRIVE,PARADISE DYNASTY|FAX: 6465 9272,608532,201010512H
176,L5753650480,Raffles City Singapore - FOREVER NEW,RAFFLES NEW,FOREVER NEW|Telphone: + 65 6337 8327,,201014172M
344,L1617850113,Bukit Panjang Plaza - Mind Stretcher Learning Centre,BUKIT PANJANG PLAZA|BUKIT PANJANG|1 JELEBU ROAD|677743,MIND STRETCHER LEARNING|WWW.MINDSTRETCHER.COM,677743,201017990C
713,L06078390917,Bugis Junction - LeNu Chef Wai?s Noodle Bar,Bugis Junction,LE NU BUGIS::LENU|LENU CHEF WAI'S NOODLE BAR|Tel:6336 7965| Fax: 6336 0685,188021,201023944N
80,LSPC900028,SingPost Centre - Carl's Jr,SINGPOST,PAYA LEBAR,,20-1024105-N
78,L05038232529,IMM Building - SUSHI EXPRESS,IMM MALL|IMM BUILDING|2 JURONG EAST::2|S(609601)|IMM,SUSHI EXPRESS|TEL:6563 2748,609601,201025838D
53,L2538230316,Westgate - SUSHI EXPRESS,WESTGATE|3 GATEWAY DRIVE,SUSHI EXPRESS|TEL:6465 9326,608532,201025838D
120,L21002910427,Bugis+ - GENKI SUSHI,BUGIS+::+|201 VICTORIA STREET,GENKI SUSHI|GENKI SUSHI BUGIS+,188067,201100057G
551,L2529240270,Westgate - PAUL,WESTGATE,PAUL|UNIT 01-05/05A,,201103352E
427,L1602100217,Bukit Panjang Plaza - Beauty Language,BUKIT PANJANG PLAZA|1 JELEBU RD|677743|BUKIT,BEAUTY LANGUAGE|WWW.BEAUTYLANGUAGE.COM,677743,201103695M
553,L0302100413,Tampines Mall - Beauty Language,TAMPINES MALL|4 TAMPINES CENTRAL 5,BEAUTY LANGUAGE|5 #B1-23A|TEL: 6789 5810|beautylanguage,529510,201103695M
193,L1802100512,Lot One - Beauty Language,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,BEAUTY LANGUAGE|TEL: 6894 2823|FAX: 6894 2823|WWW.BEAUTYLANGUAGE.COM,689812,201103695M
112,L2502100321,Westgate - Beauty Language,3  GATEWAY DRIVE,DRIVE #B1-31|TEL: 6465 9329|FAX: 6465 9329|www.beautylanguage.com,608532,201103695M
191,L22064230492,The Star Vista - YAYOI,THE STAR VISTA|1 VISTA EXCHANGE GREEN,YAYOI|TEL :6570 2668|YAYOIKEN,138617,201104609W
266,L21064230417,Bugis+ - YAYOI,BUGIS+::+|201 VICTORIA STREET,YAYOI|YAYOIKEN|TEL:66365448,188067,201104609W
396,L06031640838,Bugis Junction - PARIS BAGUETTE Cafe,BUGIS JUNCTION|200 VICTORIA STREET,PARIS BAGUETTE|201-10-8952N (6743-9396)|Number : 2011-08952N,,201108952N
,L0321640264,Tampines Mall - O'Nya Sayang,TAMPINES MALL|4 TAMPINES CENTRAL 5,O'NYA SAYANG|TEL: 67838140,529510,201112734c
116,L21068810472,Bugis+ - ?Ramen Champion? and  ?Otaru Suisan?,BUGIS+::+|201 VICTORIA STREET,OTARU SUISAN|RAMEN|RAMEN CHAMPION|IS+ #04-10,188067,201113013Z
12,L21201393072,Bugis+ - Ramen Champion Vs Japan Food,201 Victoria street,RAMEN CHAMPION|Bugis+ #04-10,188067,201113013Z
,L0528822077,IMM Building - Sacoor Outlet,IMM SHOPPING MALL|2 JURONG EAST::2,SACOOR|DELTA RETAIL TRADING|PHONE: 65696903,609601,201114985w
172,L57136370615,Raffles City Singapore - CO'MNAM BY NAMNAM / NamNam,RAFFLES CITY|252 NORTH BRIDGE ROAD,NAM NAM|COMNAM|COMNAM-VIETNAMESE STREET EATS|WWW.NAMNAMNOODLEBAR.COM.SG|TEL:63347377,179103,201116280N
253,L15062990439,The Atrium@Orchard - NamNam,PLAZA SINGAPURA|68 ORCHARD ROAD,NAM NAM NOODLE BAR|TEL:68372252|WWW.NAMNAMNOODLEBAR.COM.SG,238839,201116280N
510,L02080700086,Junction 8 - CENTRAL THAI,JUNCTION 8::8|9 BISHAN PLACE,CENTRAL THAI|TEL: 6694 3175|WWW.CENTRALTHAI.COM.SG,579837,201118375D
,L02023220178,Junction 8 - JAPAN HOME,JUNCTION 8::8|9 BISHAN PLACE,JAPAN HOME,579837,201127632E
,L16023220340,Bukit Panjang Plaza - JAPAN HOME,BUKIT PANJANG PLAZA|1 JELEBU ROAD|677743,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 6891 0694,677743,201127632E
,L1823220294,Lot One - JAPAN HOME,LOT 1|LOT ONE|21 CHOA CHU KANG,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 64683884,689812,201127632E
,L22023220347,The Star Vista - JAPAN HOME,STAR VISTA|1 VISTA EXCHANGE GREEN|THE STAR VISTA,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 67342807,138617,201127632E
,L2423220152,Bedok Mall - JAPAN HOME,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,JAPAN HOME|JAPAN HOME (RETAIL)|TEL: 68449600,467360,201127632E
272,L2226900172,The Star Vista - J-Mart,THE STAR VISTA|1 VISTA EXCHANGE GREEN|138617,J-MART::J-|Cashier:JMART1::JMART,138617,201127682H
433,L2124020323,Bugis+ - Bonchon Chicken,BUGIS+::+|201 VICTORIA STREET,BONCHON|TEL: 6884 4768,188067,201129708Z
257,L16066980188,Bukit Panjang Plaza - Tonkotsu Kazan Ramen,BUKIT PANJANG PLAZA|1 JELEBU ROAD,TONKOTSU KAZAN RAMEN|#01-64 65,677743,201130958D
281,L05070572613,IMM Building - Lian Peng Bak Kut Teh,IMM BUILDING|JURONG EAST ST 21::2,LIAN PENG BAK|BAK KUT THE|Building #02-38,609601,201131356K
305,L5754030610,Raffles City Singapore - Tiong Bahru Bakery by Gontran Cherrier,RAFFLES CITY|252 NORTH BRIDGE ROAD,TIONG BAHRU|TIONG BAHRU BAKERY|TEL:(65)63334160,179103,201133471H
386,L2226210153,The Star Vista - Wrap & Roll,THE STAR VISTA|1 VISTA EXCHANGE GREEN,WRAP|WRAP & ROLL,,201135300G
59,L05024942465,IMM Building - HaiDiLao,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG,HAIDILAO|ST 21 #03-01|68964111,,201201446C
471,L05078662756,IMM Building - Novela Outlet,IMM BUILDING|2 JURONG EAST::2,NOVELA|TEL NO.: 65643173,,201205310H
176,L2526690345,Westgate - PappaRich,WESTGATE|3 GATEWAY DRIVE,PAPPARICH|TEL:6358 2232,608532,201205313C
,L0201970027,Junction 8 - SAKAE SUSHI,JUNCTION 8::8|9 BISHAN PLACE,SAKAE SUSHI|SAKAE SUSHI (J8)|TEL: (65) 67348552,579837,201208407R
547,L0226380364,Junction 8 - Ipoh Lou Yau Bean Sprouts Chicken,JUNCTION 8::8|9 BISHAN PLACE,LOU YAU BEAN SPROUTS CHICKEN|TEL: 6258 3323,579837,201209880R
117,L2217660155,The Star Vista - ITACHO SUSHI,STAR VISTA|1 VISTA EXCHANGE GREEN,ITACHO SUSHI|ITACHO|TEL: 66940880,138617,201210694N
911,L2526870296,Westgate - Hot Tomato Caf? & Grill,Gateway Drive|Westgate,Hot Tomato|Gate #B1-11,608532,201210852k
261,L2226790258,The Star Vista - Morganfield's,THE STAR VISTA|1 VISTA EXCHANGE GREEN,MORGANFIELD'S|WWW.MORGANFIELDS.COM.SG|FB.COM/MORGANFIELDSSINGAPORE,138617,201210937N
145,L05087142905,IMM Building - asics FACTORY OUTLET,2 Jurong East Street 21::2,asics|ASICS IMM|#02-12 IMM|Tel: 6255 4404,,201213268K
107,L2125610301,Bugis+ - Hood Bar And Caf?,Bugis Plus|201 Victoria St 05 07,Hood Bar|Tel : 62218846|www.hoodbarandcafe.com|www.facebook.com/ilovehood,188067,201213384G
35,L04201033166,Plaza Singapura - FAYTH,Plaza Singapura|68 Orchard Road,fayth|www.fayth.com|Fayth!,238839,201213643H
523,L2227350256,The Star Vista - Bornga,THE STAR VISTA|1 VISTA EXCHANGE GREEN,#02-24% The Star|Tel: 6694 4696,138617,201215714H
,L15029010470,The Atrium@Orchard - Tsukada Nojo,THE ATRIUM LEVEL,TSUKADA NOJO|TEL:6336 5003,238891,201216307g
,L2529010343,Westgate - Tsukada Nojo,WEST GATE|3 GATEWAY DRIVE,TSUKADA NOJO,608532,201216307G
884,L57128370091,Raffles City Singapore - ??????? Riverside Grilled Fish,252 North Bridge|Raffles City,Riverside Grilled Fish|Tel : 6352 2035,179103,201220758Z
47,L2529760272,Westgate - Tim Ho Wan,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,TIM HO WAN|#01-13 West,608532,201301178C
127,L0429760588,Plaza Singapura - Tim Ho Wan,PLAZA SINGAPURA|68 ORCHARD ROAD,TIM HO WAN|#01-29A/52,238839,201301178C
348,L04085510073,Plaza Singapura - Let's Meat Up,PLAZA SINGAPURA|68 ORCHARD ROAD,LET'S MEAT UP|TEL: 6835 7832,238839,201302451Z
31,L06090023019,Bugis Junction - One Canton,200 Victoria Street|Bugis Junction,ONE CANTON|#01-69 Bugis,188021,201302451Z
150,L2538470315,Westgate - OLD STREET BAK KUT THE,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 068532,OLD STREET BAK KU THE|TEL: 67591082|35494K,608532,201303398H
526,L0630850227,Bugis Junction - Sumire Yakitori House,BUGIS JUNCTION,SUMIRE YAKITORI HOUSE|FAX: +65 6338 9953|NO. 80 MIDDLE ROAD,188966,201305138R
893,L0300230012,Tampines Mall - ??? BEE CHENG HIANG,Tampines Mall,Bee Cheng Hiang|Tel: 6781 7877,,201305925G
806,L0200230021,Junction 8 - ??? BEE CHENG HIANG,Junction 8::8,BEE CHENG HIANG|TEL: 6353 5455|BCH@BCH.COM.SG,,201308172K
,L2431090214,Bedok Mall - OWNDAYS,BEDOK,OWNDAYS|#01-60/61,,201308429G
318,L05066912261,IMM Building - OWNDAYS outlet,IMM BUILDING,OWNDAYS OUTLET|#01-11/12,,201308429G
,L0207830212,Junction 8 - Food Junction,JUNCTION 8::8,FOOD JUN|STALL #10,,201311836H
405,L25072270720,Westgate - LADY M,WESTGATE|3 GATEWAY DRIVE,LADY M @|TEL: +65 6250 8993|EMAIL:CS@LADYM.COM.SG,608532,201313768G
277,L2531210078,Westgate - Tonkatsu by Ma Masion,WESTGATE|3 GATEWAY DRIVE,TONKATSU BISTRO BY MA MAISON,608532,201314391G
119,L25201373269,Westgate - Bowl Thai,3 Gateway Drive,BOWL THAI|#B2-K12 Westgate|Tel:6465 9465,608532,201315893W
,L2531880274,Westgate - Miam Miam,WESTGATE|3 GATEWAY DRIVE,MIAM MIAM|MIAM MIAM SING|POWER BY REVEL SYSTEMS,608532,201315935W
240,L0631880788,Bugis Junction - Miam Miam,BUGIS JUNCTION|200 VICTORIA STREET,MIAM M AM|POWER BY REVEL SYSTEMS,188021,201315935W
587,L0238820398,Junction 8 - ORBIS,JUNCTION 8::8|9 BISHAN PLACE|SINGAPORE 579837,ORBIS|ORBIS ASIA PACIFIC|TEL NO.:6334 2768,579837,201317584E
246,L15080490615,The Atrium@Orchard - Nanjing Impressions,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,NANJING DAPAIDANG|TEL NO: 6352 7877,238839,201328810K
315,L05200803667,IMM Building - UNDER ARMOUR OUTLET,IMM BUILDING|2 JURONG EAST::2,UNDER ARMOUR OUTLET|UA SPORTS (S.E.A)|TEL:68731680,609601,201331463M
33,L06071520643,Bugis Junction - UNDER ARMOUR,200 Victoria Street|Bugis Junction,UNDER ARMOUR|#01-77/78/79/80/77A/78A/79A/80A|Tel:6837 0913,188021,201331463W
294,L2560310302,Westgate - Yves Rocher,WESTGATE,YVES ROCHER|LUXYR COSMETICS| NO.: 201332680K,,201332680K
233,L09080591064,JCube - Shi Li Fang,JCUBE::JC|JURONG EAST CENTRAL 1,3 SHI LI FANG|FAMOUS FOOD CUBE|#02-08A,609731,201332719N
379,L2532000184,Westgate - Pho Street,WESTGATE|3 GATEWAY DRIVE,PHO STREET|#B2-K6/K7|TEL: 6465 9925,608532,20135899D
601,L2432000170,Bedok Mall - Pho Street,BEDOK MALL|311 UPPER CHANGI ROAD,PHO STREET|PHOBKM.MFB.AC,467360,20135899D
546,L57112480671,Raffles City Singapore - sufood,RAFFLES CITY|252 NORTH BRIDGE ROAD,SUFOOD|TEL: 6333 5338,,201400646C
385,L04026690640,Plaza Singapura - PappaRich,PLAZA SINGAPURA|68 ORCHARD ROAD,PAPPARICH|TEL: 6735 9323,238839,201400763H
262,L0962300412,JCube - OPPA Korean Grill BBQ,JCUBE::JC|JURONG EAST CENTRAL,OPPA KOREAN GRILL BBQ|KOREAN FOOD UNITED|TEL:63395841,609731,201402040C
531,L22064050481,The Star Vista - Imakatsu,THE STAR VISTA| 1 VISTA EXCHANGE GREEN,IMAKATSU|TEL6148,138617,20141019E
,L04029490072,Plaza Singapura - 4FINGERS CRISPY CHICKEN,PLAZA SINGAPURA|68 ORCHARD ROAD,4FINGERS CRISPY CHICKEN|WWW.4FINGERS.COM,238839,201411212R
467,L02070530241,Junction 8 - OSMOSE,JUNCTION 8::8,OSMOSE|TEL: 6250 2669|OSMOSE-STORES.COM,,201414149E
