Rank,CRM LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
,L0400210106,,PLAZA SINGAPURA|68 ORCHARD ROAD,THE BODY SHOP|is our source|thebodyshop,238839,M20119094X
,L0500211294,,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,THE BODY SHOP|is our source|thebodyshop,609601,M20119094X
,L0600210554,,BUGIS JUNCTION,THE BODY SHOP|is our source|thebodyshop,188021,M20119094X
,L0700210108,,SEMBAWANG,THE BODY SHOP|is our source|thebodyshop,758459,M20119094X
,L1600210159,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,THE BODY SHOP|is our source|thebodyshop,677743,M20119094X
,L1800210048,,LOT 1|LOT ONE|21 CHOA CHU KANG,THE BODY SHOP|is our source|thebodyshop,689812,M20119094X
,L2400210115,,BEDOK|BEDOK MALL|311 NEW UPPER,THE BODY SHOP|is our source|thebodyshop,467360,M20119094X
,L5751690243,,RAFFLES CITY,THE BODY SHOP|is our source|thebodyshop,179103,M20119094X
,L57135040691,,RAFFLES CITY|NORTH BRIDGE,Treasures Yi Dian Xin|imperial treasure|yi dian xin|treasure yi dian|6262 1662,179103,m90010008Y
,L0202140234,,JUNCTION 8|9 BISHAN PLACE,bachmann japanese,579836,m90370629T
,L5750810351,,RAFFLES CITY,HARVEY NORMAN,179103,MR85001242
,L0300060465,,TAMPINES MALL|TAMPINES CENTRAL,DELIFRANCE|198902330E,529510,mr85003130
,L0500061890,,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,DELIFRANCE|198902330E,609601,mr85003130
,L1800060438,,LOT 1|LOT ONE|21 CHOA CHU KANG,DELIFRANCE|198902330E,689812,mr85003130
,L5753500605,,RAFFLES CITY,DELIFRANCE|198902330E,179103,mr85003130
,L57RCS02,,RAFFLES CITY,197501717w|tellmandssg.com|MARKS & SPENCER|baccarat inter,179103,
,L25082270584,,3 GATEWAY DRIVE|WESTGATE,aburi sushi|heishiro,,
,L16098020225,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,ah mah homemade|egg sponge cake,677743,
,L1612630112,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,EIO Salon|eio hair,677743,
,L06087790158,,BUGIS JUNCTION,kogane yama|kogane,188021,
,L2402240197,,BEDOK MALL|311 NEW UPPER,sa sa cosmetic|68449690 Fax:68449691,467360,
,L03061790656,,TAMPINES,YOOGANE,529510,
,L0661790156,,BUGIS JUNCTION,YOOGANE,188021,
